TSE_stat,date,UOM,UOM_ID,COORDINATE,VALUE,TERMINATED
"S&P/TSE Composite Index, close",1975-07-01,"Index, 2000=1000",176,1.3,1051.67,NA
"S&P/TSE Composite Index, close",1975-08-01,"Index, 2000=1000",176,1.3,1038.9,NA
"S&P/TSE Composite Index, close",1975-09-01,"Index, 2000=1000",176,1.3,976.37,NA
"S&P/TSE Composite Index, close",1975-10-01,"Index, 2000=1000",176,1.3,930.93,NA
"S&P/TSE Composite Index, close",1975-11-01,"Index, 2000=1000",176,1.3,980.81,NA
"S&P/TSE Composite Index, close",1975-12-01,"Index, 2000=1000",176,1.3,953.54,NA
"S&P/TSE Composite Index, close",1976-01-01,"Index, 2000=1000",176,1.3,1039.43,NA
"S&P/TSE Composite Index, close",1976-02-01,"Index, 2000=1000",176,1.3,1074.38,NA
"S&P/TSE Composite Index, close",1976-03-01,"Index, 2000=1000",176,1.3,1054.09,NA
"S&P/TSE Composite Index, close",1976-04-01,"Index, 2000=1000",176,1.3,1075.02,NA
"S&P/TSE Composite Index, close",1976-05-01,"Index, 2000=1000",176,1.3,1075.92,NA
"S&P/TSE Composite Index, close",1976-06-01,"Index, 2000=1000",176,1.3,1055.55,NA
"S&P/TSE Composite Index, close",1976-07-01,"Index, 2000=1000",176,1.3,1050.07,NA
"S&P/TSE Composite Index, close",1976-08-01,"Index, 2000=1000",176,1.3,1048.3,NA
"S&P/TSE Composite Index, close",1976-09-01,"Index, 2000=1000",176,1.3,1028.8,NA
"S&P/TSE Composite Index, close",1976-10-01,"Index, 2000=1000",176,1.3,989.55,NA
"S&P/TSE Composite Index, close",1976-11-01,"Index, 2000=1000",176,1.3,920.1,NA
"S&P/TSE Composite Index, close",1976-12-01,"Index, 2000=1000",176,1.3,1011.52,NA
"S&P/TSE Composite Index, close",1977-01-01,"Index, 2000=1000",176,1.3,996.6,NA
"S&P/TSE Composite Index, close",1977-02-01,"Index, 2000=1000",176,1.3,1008.92,NA
"S&P/TSE Composite Index, close",1977-03-01,"Index, 2000=1000",176,1.3,1022.11,NA
"S&P/TSE Composite Index, close",1977-04-01,"Index, 2000=1000",176,1.3,994.79,NA
"S&P/TSE Composite Index, close",1977-05-01,"Index, 2000=1000",176,1.3,981.19,NA
"S&P/TSE Composite Index, close",1977-06-01,"Index, 2000=1000",176,1.3,1031.24,NA
"S&P/TSE Composite Index, close",1977-07-01,"Index, 2000=1000",176,1.3,1033.53,NA
